,id,name,year,genre,ratingCount,bestRating,worstRating,ratingValue,directorMaxEffect,actorMaxEffect,writerMaxEffect,directorSumEffect,actorSumEffect,writerSumEffect,d动画,d悬疑,d剧情,d西部,d犯罪,d灾难,d传记,d科幻,d儿童,d歌舞,d奇幻,d家庭,d喜剧,d音乐,d惊悚,d运动,d历史,d古装,d爱情,d冒险,d恐怖,d动作,d战争,d武侠,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022
3031,6428113,铸剑,2011,"['剧情', '历史', '古装']",223,10,2,4.8,23,8294,15669,23,8910,15692,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3032,6428132,初到东京 東京に来たばかり,2012,"['剧情', '爱情']",4894,10,2,6.4,28,21129,28,28,45577,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3033,6430838,一路惊心,2011,"['剧情', '喜剧']",3241,10,2,5.4,50,702,8,50,1831,9,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3034,6436755,虎头要塞之蓝色七号,2011,"['动作', '战争']",71,10,2,6.8,90,156,28,101,225,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3035,6436763,影子爱人 影子愛人,2012,"['喜剧', '爱情']",17285,10,2,4.1,269,13706,267,384,42800,382,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3036,6436776,虎头要塞之最后决战,2010,"['剧情', '战争']",77,10,2,5.5,90,238,28,90,640,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3037,6514079,先驱者,2011,"['剧情', '历史']",157,10,2,2.6,3,726,1,5,946,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3038,6514087,北角,2011,['剧情'],514,10,2,6.3,7,846,0,7,1654,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3039,6514105,夏日乐悠悠,2011,"['喜剧', '爱情']",47293,10,2,6.1,455,31302,455,455,48461,455,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3040,6519563,通道转兵,2011,['历史'],141,10,2,3.6,15,396,1837,24,436,1837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
