,id,name,year,description,genre,ratingCount,bestRating,worstRating,ratingValue,directorMaxEffect,actorMaxEffect,writerMaxEffect,directorSumEffect,actorSumEffect,writerSumEffect,d动画,d悬疑,d剧情,d西部,d犯罪,d灾难,d传记,d科幻,d儿童,d歌舞,d奇幻,d家庭,d喜剧,d音乐,d惊悚,d运动,d历史,d古装,d爱情,d冒险,d恐怖,d动作,d战争,d武侠,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,dPropaganda
12,10458675,聊斋志异之桃花劫,2010,"家境显赫的柳老爷寿辰之际，宴请八方宾朋，趋炎附势、嫌贫爱富的故交黄老爷张罗要将自己的女儿小仪和柳家公子柳和定下娃娃亲。双方一拍即合，满心欢喜。谁知柳家门客宫梦弼大破冷水，指出黄老爷的品性，令主宾双方颜上无光。接着柳和的怪异举止又使得这场寿筵不欢而散。柳和夜梦园中桃树藏有妖怪，于是醒来对桃树百般呵护，全然不理睬小仪姑娘。柳老爷勃然大怒，不顾劝阻砍断桃树，谁知从此家道衰落。十年后，柳老爷郁郁而终，柳家靠帮人家印染糊口。小有神通的婢女桃花忠心耿耿，全心全意扶持帮衬夫人和公子。而今柳和一表人才，希望和小仪早结连理，但黄老爷小人嘴脸显现，为他出了种种难题。最终的故事将会怎样？

本片根据《聊斋志异》中的故事改编。",['剧情'],309,10,2,4.1,35,1680,476,35,1975,476,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,10460130,重返大海,2012,纽约湾的海域里生活着一个飞鱼家族，年轻的飞鱼Kevin（李俊宇 配音）已被父亲选中作为下一代的头鱼。他梦想着有一天能带领整个家族前往飞鱼故乡巴巴多斯。在一次争吵后冲动地冒险挑战人类的捕鱼区，不幸被捕，来到了唐人街餐馆的鱼缸里，家族祖传的珍珠也下落不明。在餐馆里，Kevin认识了餐馆老板的儿子小宝（林颖 配音），一个表面内向沉默，心底却热爱冒险的中国小孩。他的父亲大宝每天强迫他练习厨艺，好迎接竞争对手不怀好意的挑战，也好在日后能接过家族的班。两人互相认识并获得友情。就在这时，Kevin家族的珍珠突然被纽约大盗Jack（孟非 配音）在躲避警察时丢回了这个鱼缸。接下来，因为这一偶然事件，Kevin、小宝、Jack，还有鱼缸里的鱼，这几个不同的世界交织在了一起，发生了一系列惊险、幽默、温情的故事。,"['动画', '冒险', '家庭']",3601,10,2,5.3,0,227,1,0,251,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,10461347,美人三嫁,2012,"《美人三嫁》是北京东方飞云国际影视公司拍摄制作的电视电影，将于2012年01月14日在辽宁卫视《北方影院》栏目中首播。

民国初年，军阀混战，草莽出身的沈虎占据了整个北京城，并强抢前清肃亲王府的七格格玉融为妾，预报当年的羞辱之恨，谁知道沈虎在对玉融报复中，终于明白自己深爱玉融的内心，而两人也由此上演了一段爱恨纠缠的爱情绝唱。","['传记', '爱情']",328,10,2,6.6,27,45,8,27,125,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,10464232,糖豆八部,2012,影片讲述一个奋战在糖果行业的销售精英，勇于面对形形色色的商场老赖和公司内部腐败分子，不抱怨、不妥协、不放弃，带领自己的团队，用反常规的智慧在“职场江湖”中自我提升的传奇故事。,['喜剧'],310,10,2,6.2,68,69,0,68,138,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,10465153,娱乐是个圈,2012,电影《娱乐是个圈》糅合三条线索讲述了一群娱乐圈边缘小人物的故事，赤裸裸地戳穿了娱乐圈背后谎言遍地炒作成风的现象。原雨所饰演的正是其中一条线索的关键人物——娱乐记者陈丽莎。面对行业内的竞争压力，丽莎试图坚持用自己的方式来寻求娱乐圈背后事实的真相，历经千辛万苦使尽浑身解数之后，她终于报道了一个自己以为的真相，可最终却发现那还是一个假新闻，不由感叹： “想在你们娱乐圈听句真话怎么就那么难？”,['喜剧'],276,10,2,5.9,17,18972,17,17,22869,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,10466281,闪婚总动员,2012,《闪婚总动员》讲述的是时下热门的相亲故事，杜萱是一位生活在时尚大都市的高薪女白领，原本想在奶奶八十大寿的时候举行婚礼，不料在距离婚期只有两个月的时候惨遭未婚夫分手。马不停蹄的相亲过程中，她遭遇到了ABCD各色人等，有的鸡贼，有的是土大款，还有胆小却极具心机的，不断地灭灯灭灯再灭灯。是否能有一盏灯值得她留到最后牵手成功，请拭目以待......,['喜剧'],327,10,2,5.6,41,4261,0,41,4739,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,10467774,孙子从美国来,2012,"老杨头（罗京民 饰）是陕西华县一名独居老艺人，家中珍藏着表演皮影戏的全套行当。一天，离家多年的儿子突然领回了洋女友和洋孙子布鲁克斯（丁佳明 饰）。观念受到冲击的老杨头还未回过神来，儿子和女友又因要远赴可可西里工作而匆忙将布鲁克斯托付给了自己。措手不及的老杨头只得生涩的充当起洋孙子的看护人，爷孙俩时常因东西方文化差异和语言不通发生冲突。

为了让布鲁克斯喝到鲜牛奶，老杨头找上了养奶牛的乡文化站王站长（刘天佐 饰）。正酝酿开班传承皮影戏的王站长借机力邀老杨头复出。在王站长不懈的游说和布鲁克斯的影响下，老杨头的皮影班终于成功开授，他与布鲁克斯之间也因为皮影戏这种独特温馨的沟通方式变得亲密无间。","['剧情', '儿童', '家庭']",82131,10,2,8.5,160,1449,160,160,2123,160,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,10468706,盛糖乐队,2011,"林波丽的母亲经营着一家西点铺，母亲希望林波丽能老老实实的考一个高级面点师的证书，如此可以在自己退休之后将经营店铺的重任传给女儿。然而林波丽真正喜欢的却是音乐，她做梦都希望能够组建一支乐队，站上万人瞩目的舞台。母女两人因此常常产生矛盾爆发激烈的争吵。

一次偶然中，林波丽结识了名为陈小辉的男子，陈小辉十分佩服林波丽的理想和毅力。在陈小辉的鼓励和支持之下，林波丽找来了另外三个志同道合但都未接受过系统训练的队员，组成乐队取名“盛糖乐队”。通往理想的道路注定充满了挫败和曲折，盛糖乐队克服了重重的困难，最终站在了全国才艺大赛的舞台之上。","['剧情', '喜剧', '音乐']",533,10,2,5.4,4,613,0,4,826,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,10478122,平壤之约 평양에서의 약속,2012,"中国青年舞蹈家王晓楠（刘冬 饰）在“民族舞蹈大赛”表演朝鲜舞蹈《铃铛》时，被总评审——奶奶陈秀珍教授发现犯错，瞬间总分由第一名滑落至第十名。懊恼之际，奶奶安排她随中朝艺术交流团去平壤，并托付她顺便寻找朝鲜“姐姐”秀美——抗美援朝时期奶奶的朝鲜战友。途中，晓楠邂逅了来朝鲜 帮爷爷完成遗愿的中国青年摄影师高飞（高鑫 饰）。到达平壤后，晓楠和朝鲜青年舞蹈家金银顺产生了一些意想不到的误会……为了消除误会，金银顺（金玉林 饰）安排她到农村自己的家乡和乡亲们见面……观摩十万演员表演的团体操《阿里郎》的一系列排练……

在相处的时间里，晓楠也在努力撮合朝鲜青年金成民（朴正泽 饰）和金银顺的爱情……晓楠和中国青年摄影师高飞也在偶然的见面中，经过种种周折，实现了抗美援朝老一辈人的愿望。回国后，王晓楠向奶奶——陈秀珍教授交出了一份满意的舞蹈艺术答卷，得到了奶奶的认可。那么，王晓楠在朝鲜究竟看到了什么？经历了什么？感受到了什么？使她在短短的时间里有了如此巨大的改变呢？",['剧情'],1148,10,2,4.1,212,2261,107,212,2796,107,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
21,10478207,凶间雪山,2012,"一对情侣与登山队队友攀登雪山，不料中途天气突变,但队员们执意要上山，于是男友（吴卓羲 饰）留下女友（邓丽欣 饰）看守营地。上山三天后登山队员依旧没有任何音讯。七天后，大家都回来了，唯独她男友没有回来。队员们说，在攻峰的第一天遇到雪崩，她的男友就不幸遇难！ 他们赶在头七前回来，心想死去男友可能会还魂回来找她。半夜，男友浑身是血的出现了，一把抓住她就跑，并告诉她第一天登山就发生了山难！其余的人都死了，只有他还活着。他们究竟谁是人？谁是鬼？

《凶间雪山》根据超人气鬼故事《相信谁》改编。","['惊悚', '恐怖']",5710,10,2,3.8,26,12020,26,26,17963,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
