,id,name,year,url,image,datePublished,genre,language,duration,description,ratingCount,bestRating,worstRating,ratingValue,directorMaxEffect,actorMaxEffect,writerMaxEffect,directorSumEffect,actorSumEffect,writerSumEffect
1771,26873166,三个孬家伙,2016,/subject/26873166/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2379749012.webp,2016-09-23,['喜剧'], 汉语普通话,PT1H26M,憨厚朴实的山里娃铁头（来喜 饰），由于没钱娶心上人进城去找表哥杨伟（于非 饰）讨债的过程中结识了在城里开赌场的海哥（刘桦 饰），并发生了一系列令人捧腹的故事……,891,10,2,4.7,25,1761,25,25,1952,25
1772,26873275,骆驼客2之箭在弦,2016,/subject/26873275/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2430301090.jpg,2016-11-25,"['动作', '爱情', '冒险']", 汉语普通话,PT1H30M,二尕子被官府悬赏通缉，刀客揭下通缉令，追杀二尕子，逃亡之路，善良、清纯的柳叶姑娘执意跟随，途中刀客紧追。荒芜人烟的沙漠，却恰遇骆驼客队长，临终相托，将一木匣子交予通缉自己的官府，诚信与逃亡，爱情与宿命...,611,10,2,7.3,45,140,45,45,175,45
1773,26873799,龙之战,2017,/subject/26873799/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2495031914.jpg,2017-08-04,"['动作', '历史', '战争']", 汉语普通话 / 法语,PT1H52M,1885年，法军进攻越南凉山，驻守清军不战而退，清朝政府的统治地位遭到威胁，慈禧召集众臣商讨派谁挂帅，最终启用了年近七旬的退隐老将冯子材（刘佩琦 饰），但当时广西军民已被法军的残忍手段吓破胆，有严重畏...,8548,10,2,6.4,45,2086,83,45,4121,88
1774,26873820,窦娥奇冤,2017,/subject/26873820/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2455929183.jpg,2017-04-21,"['剧情', '动作', '悬疑']", 汉语普通话,PT1H20M,东海郡窦娥被冤杀之后，血溅白练、六月飞雪、大旱三年，而后怪事频发闹得民不聊生。皇帝命重臣周天章（邱心志 饰）赴东海郡调查缘由并查办此案，险象环生、蹊跷不断，众多离奇事件、怪异人物纷纷登场，随着窦娥案的...,883,10,2,4.6,12,1872,0,12,2995,0
1775,26876595,那年夏天你去了哪里,2016,/subject/26876595/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2402705389.webp,2016-12-30,['悬疑'], 汉语普通话,PT1H29M,袁宁静（宋佳 饰）是一名心理医生，她曾有一个妹妹名叫袁宁樱（颜卓灵 饰），不幸的是，袁宁樱遭到了绑匪的绑架，下落不明，这巨大的打击让袁家崩溃了。一晃眼十二年过去，某日，已经长大成人的袁宁樱毫发无损的回...,18911,10,2,4.7,15,35656,15,15,70249,15
1776,26877249,百家拳之关门弟子,2016,/subject/26877249/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2385793927.jpg,2016-11-09,['动作'], 汉语普通话,PT1H42M,这是一段关于【鹰爪翻子拳】的创拳传说。讲述了翻子门宗师董云堂在收取关门弟子的比武中，偶遇狱卒孙行颠和青年郭书文，两位拳师皆为武痴，为了学得董家武学真传，展开了一场斗智斗勇、精彩绝伦、打斗激烈、拳拳到肉...,312,10,2,5.3,24,122,24,24,241,24
1777,26877472,搬迁,2016,/subject/26877472/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2618207908.jpg,,['剧情'], 汉语普通话,PT1H45M,以北梁老马一家棚户区搬迁为背景，拆迁女干部柳春燕工作兢兢业业，受到了领导和群众的一致好评。就在柳春燕全力以赴工作的时候，中年危机不期而至，丈夫马建民出轨，柳春燕去意已决，不想马家先是小姑子离婚回来争家...,154,10,2,4.8,107,6373,107,107,8226,134
1778,26877504,猪太狼的夏天,2017,/subject/26877504/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2502990411.jpg,2017-04-22,"['剧情', '喜剧']", 汉语普通话,PT1H30M,影片讲述了一个善良正直的笨人，小学老师朱先生（孙博 饰），他一直努力工作并希望能受人尊敬，却接二连三地遭受打击和挫折。朱先生任的班上有两个顽皮的学生，一直有意无意的和他作对，可在朱老师决定放弃自己教师...,2576,10,2,6.0,371,184,371,371,208,389
1779,26877843,屠门镇之破茧之子,2016,/subject/26877843/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2691030002.jpg,2016-09-20,['剧情'], 汉语普通话,PT1H30M,辛亥革命中，前清遗老 组织杀手因被尚峰出卖刺杀袁 世凯失败，只有革离和毒刺、 小艾三人侥幸逃脱，逃往“ 屠 门镇 ”，并在那里结识了海 浪、计童、唐斩等人，除暴安 良，最终联手击败尚峰，解救 了危机中...,212,10,2,3.9,20,793,20,20,987,20
1780,26877844,屠门镇之关西荡寇,2016,/subject/26877844/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2691030327.jpg,2016-09-20,['剧情'], 汉语普通话,PT1H27M,屠门镇 附近活跃着一 队以唐斩为首的马匪—— 荡寇 帮，常劫富济贫。他们打劫了 名为送茶叶实则为镇长送军火 的商队。二当家洪坤野心膨 胀，背叛唐斩，铲除异己，革 离和叶群等人结识并了解了唐 斩，与其联...,157,10,2,4.3,20,793,20,20,833,20
1781,26878103,暮光·巴黎 Lumière Amoureuse,2017,/subject/26878103/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2535476911.jpg,2017-10-30,"['爱情', '奇幻']", 法语 / 汉语普通话,PT1H31M,一个发生在“浪漫之都”巴黎，讲述有关爱与永恒的暗黑童话，法国神秘家族“KOI”于100年前创立电影公司，寻找欲望强盛的人类，邀请至古堡拍戏，让人类演绎心底的欲望最高潮之际，摄取人类的欲望。某个午夜，神...,1651,10,2,3.9,15,2784,15,26,3272,15
1782,26878827,悟空奇遇记,2019,/subject/26878827/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2552558351.jpg,2019-05-01,"['喜剧', '动画']", 汉语普通话,PT1H28M,成佛后无所事事的孙悟空在玉帝授意下来到人间，偶遇迷路的小鹿和收留它的小女孩晶晶，三人各带着不同目的出发。旅途中发生很多趣事和误会，三人渐渐加深了友谊。悟空逐渐意识到节日不论中外，都代表着对亲情的期待，...,837,10,2,2.8,4,814,4,4,895,4
1783,26879060,情圣,2016,/subject/26879060/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2409022364.webp,2016-12-30,['喜剧'], 汉语普通话,PT1H56M,肖瀚（肖央 饰）和妻子沈红（代乐乐 饰）结婚多年，感情早已经归于平淡，在两人漫长的婚姻生活中，肖瀚一直保持着对妻子的忠诚，直到某日，一位名叫yoyo（李成敏 饰）的美丽女子出现在了肖瀚的身边，令肖瀚再...,156819,10,2,6.0,334,19243,223,381,67586,373
1784,26880771,枕边有张脸2,2016,/subject/26880771/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2392784794.webp,2016-10-28,"['悬疑', '惊悚']", 汉语普通话,PT1H30M,溪田（赵慧仙 饰）十几年来被一个噩梦所困扰，偶然中从著名画家陈风的画中看到了在梦里想杀自己的女孩。为了解梦，溪田一行五人决定去存放着这幅画真迹的深山别墅去寻找答案。没等解开答案，五人却遭遇了一系列离奇...,678,10,2,3.4,119,4386,0,119,5011,0
1785,26882309,识色，幸也,2017,/subject/26882309/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2502195321.jpg,2017-11-03,"['剧情', '爱情']", 汉语普通话,PT1H43M,痴情凤凰男许诺与花心公子哥胡晓高是大学同学，因一次捐肾二人情同手足。境遇变迁，两段真爱来袭，他们的爱情态度却发生猛然逆转。最终，晓高用生命给了许诺坚守真爱的启示，许诺懂得了真爱是那样弥足珍贵。,1223,10,2,3.3,11,2836,11,11,5670,11
1786,26882327,血狼犬,2017,/subject/26882327/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2452142083.jpg,2017-04-21,"['剧情', '动作', '冒险']", 汉语普通话,PT1H35M,电影根据“西北犬王”的真实事迹改编。中国西北天山林场，护林员朱广生（黄宏 饰）驯养勇猛的狼犬来防止偷木盗猎，为此倾尽家产、维继艰难。一只流浪小狗（哈雷 饰）无意间走进了老朱的生活，老朱为它取名“蓝波”...,5067,10,2,5.5,21,362,0,21,948,0
1787,26882457,断片之险途夺宝,2018,/subject/26882457/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2541553709.jpg,2018-12-29,"['喜剧', '冒险']", 汉语普通话,PT1H35M,故事发生在某大型海洋世界，卖鱼大叔牙叔（葛优 饰）、海豚训练员阿乐（岳云鹏 饰）和海洋馆保安杜治国（杜淳 饰）因工作结识，因境遇相怜。他们奋力挣扎，却最终遭受情感的挫折。这一晚，三人相约聚餐，借酒浇愁...,22001,10,2,2.9,78,30985,21,94,58548,21
1788,26883093,惊魂绣花鞋,2017,/subject/26883093/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2430083789.webp,2017-03-03,"['惊悚', '恐怖']", 汉语普通话,PT1H29M,一双绣花鞋，隐藏着一个死亡诅咒，凡是穿过绣花鞋的人都意外惨死，无一幸免。安雯（何乙轩 饰）大病未愈，摆脱了丈夫潘航（辉灿 饰）和医生的看护，独自逃回老家古宅生活。安雯在老宅发现了一双祖上流传并受到死亡...,1065,10,2,2.5,2,47,0,2,82,0
1789,26885074,叶问4：完结篇 葉問4：完結篇,2019,/subject/26885074/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2577578115.jpg,2019-12-20,"['剧情', '动作']", 粤语 / 英语 / 汉语普通话,PT1H47M,因故来到美国唐人街的叶问，意外卷入一场当地军方势力与华人武馆的纠纷，面对日益猖狂的民族歧视与压迫，叶问挺身而出，在美国海军陆战队军营拼死一战，以正宗咏春，向世界证明了中国功夫。,276441,10,2,6.8,1804,8568,48,1804,27747,126
